Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
divine-foods-abc-latte-paruthi-paal,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot) - The Divine Foods,"<p><span data-mce-fragment=""1""><strong>ABC Latte:</strong></span></p>
<p><span class=""a-list-item""><strong>1.Why Divine Foods ABCDE Latte Mix?</strong><span> </span>Goodness for Working towards Strengthening your Immunity</span></p>
<p><span class=""a-list-item""><strong>2.HOW TO MAKE IT? </strong>Take two spoons of 'The Divine Foods' ABCDE Latte Mix. Add 120ml of hot or warm milk. Stir the contents well and let it dissolve. It can also be consumed with warm water. 'The Divine Foods' ABCDE Latte Mix""is a natural health drink and it is adviced to consume it twice a day, that is in mornings and evenings.</span></p>
<p><span class=""a-list-item""><strong>3. BENEFITS :</strong><span> </span>promises good gut heal.keeping your cholesterol levels in check and regulating your blood pressure.enhances vision.</span></p>
<p><span class=""a-list-item""><strong>4.PURITY AND PACKAGING:</strong><span> </span>'The Divine Foods' ABCDE Latte Mix is free from added additives, artificial colours, flavours, adulterants and preservatives. It is 100% pure, organic and certified as pesticide free. We check each batch of the milk mix and pack it in an eco-friendly reusable tin.</span></p>
<p> </p>
<p><span data-mce-fragment=""1""><strong>Paruthi Paal:</strong></span></p>
<p><span data-mce-fragment=""1""><strong>1. WHY 'THE DIVINE FOODS' COTTON SEED MILK MIX?: '</strong>The Divine Foods' Cotton Seed Milk Mix is a blend of unique ingredients such as Cotton seed milk, Palmyrah candy powder, Barley, Palm Jaggery, Liquorice, Thippli, Dry ginger, Aswagandha, Black pepper, Cardamom, Rice powder and Coconut powder.</span></p>
<p><span data-mce-fragment=""1""><strong>2. HOW TO MAKE IT?:</strong><span> </span>Take two spoons of 'The Divine Foods' Cotton Seed Milk Mix. Add 120ml of hot or warm milk. Stir the contents well and let them dissolve. It can also be consumed with warm water.</span></p>
<p><span data-mce-fragment=""1""><strong>3. GOOD AGAINST STOMACH WORMS:</strong><span> </span>'The Divine Foods' Cotton Seed Milk Mix is traditionally believed to be good against stomach worms. It prevents stomach worms and enhances bowel movements. </span></p>
<p><span data-mce-fragment=""1""><strong>4. WHERE IT IS FROM? :</strong><span> </span>The ingredients of 'The Divine Foods' Cotton Seed Milk Mix are sourced directly from local organic and non-GMO farmers in Madurai, Tamil Nadu. </span></p>
<p><span data-mce-fragment=""1""><strong>5. PURITY AND PACKAGING:</strong><span> </span>'The Divine Foods' Cotton Seed Milk Mix is free from added additives, artificial colours, flavours, adulterants and preservatives.</span></p>
<!---->",The Divine Foods,"","",divine_foods,FALSE,Title,Default Title,"",,"",,"",500,shopify,100,deny,manual,1803.00,,TRUE,TRUE,"",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF-PP_ABC_BS.png?v=1723205776,1,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),FALSE,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),ABC Latte: 1.Why Divine Foods ABCDE Latte Mix? Goodness for Working towards Strengthening your Immunity 2.HOW TO MAKE IT? Take two spoons of 'The Divine Foods...,"","","","",new,TRUE,https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF-PP_ABC_BS.png?v=1723205776,g,"",645.00,TRUE,1803.00,1090.00,TRUE,1803.00,1090.00,active
divine-foods-abc-latte-paruthi-paal,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/DF-EC-ABC-01_98dc4ca9-ab44-4c40-a265-50424a0c2920.jpg?v=1735633046,2,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-foods-abc-latte-paruthi-paal,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/DF-EC-PARUTHIPAAL-01_8111c1bf-21e7-49dc-9891-b444a047c8fd.jpg?v=1719228226,3,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-foods-abc-latte-paruthi-paal,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/abc_8d7403ea-b070-4688-ad1b-5af5b5dc9b44.png?v=1744350134,4,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-foods-abc-latte-paruthi-paal,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/DF-EC-PARUTHIPAAL-05_42a61e43-1064-491b-93a8-d1a13b60d04b.jpg?v=1744350134,5,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-foods-abc-latte-paruthi-paal,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_BestSellers.png?v=1744350134,6,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-foods-abc-latte-paruthi-paal,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/FSSAI_New.png?v=1748002180,7,Divine Bestseller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-smart-comboabc-paruthi-paal-refill-pack,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot) - The Divine Foods,"<p>""Nourish Your Active Life. Divine Smart Combo combines ABC Milk Mix and Paruthi Paal for overall health and immunity.""<br></p>
<p><span data-mce-fragment=""1""><strong>ABC Latte:</strong></span></p>
<p><span class=""a-list-item""><strong>1.Why Divine Foods ABCDE Latte Mix?</strong><span> </span>Goodness for Working towards Strengthening your Immunity</span></p>
<p><span class=""a-list-item""><strong>2.HOW TO MAKE IT? </strong>Take two spoons of 'The Divine Foods' ABCDE Latte Mix. Add 120ml of hot or warm milk. Stir the contents well and let it dissolve. It can also be consumed with warm water. 'The Divine Foods' ABCDE Latte Mix""is a natural health drink and it is adviced to consume it twice a day, that is in mornings and evenings.</span></p>
<p><span class=""a-list-item""><strong>3. BENEFITS :</strong><span> </span>promises good gut heal.keeping your cholesterol levels in check and regulating your blood pressure.enhances vision.</span></p>
<p><span class=""a-list-item""><strong>4.PURITY AND PACKAGING:</strong><span> </span>'The Divine Foods' ABCDE Latte Mix is free from added additives, artificial colours, flavours, adulterants and preservatives. It is 100% pure, organic and certified as pesticide free. We check each batch of the milk mix and pack it in an eco-friendly reusable tin.</span></p>
<p><span data-mce-fragment=""1""><strong>Paruthi Paal:</strong></span></p>
<p><span data-mce-fragment=""1""><strong>1. WHY 'THE DIVINE FOODS' COTTON SEED MILK MIX?: '</strong>The Divine Foods' Cotton Seed Milk Mix is a blend of unique ingredients such as Cotton seed milk, Palmyrah candy powder, Barley, Palm Jaggery, Liquorice, Thippli, Dry ginger, Aswagandha, Black pepper, Cardamom, Rice powder and Coconut powder.</span></p>
<p><span data-mce-fragment=""1""><strong>2. HOW TO MAKE IT?:</strong><span> </span>Take two spoons of 'The Divine Foods' Cotton Seed Milk Mix. Add 120ml of hot or warm milk. Stir the contents well and let them dissolve. It can also be consumed with warm water.</span></p>
<p><span data-mce-fragment=""1""><strong>3. GOOD AGAINST STOMACH WORMS:</strong><span> </span>'The Divine Foods' Cotton Seed Milk Mix is traditionally believed to be good against stomach worms. It prevents stomach worms and enhances bowel movements. </span></p>
<p><span data-mce-fragment=""1""><strong>4. WHERE IT IS FROM? :</strong><span> </span>The ingredients of 'The Divine Foods' Cotton Seed Milk Mix are sourced directly from local organic and non-GMO farmers in Madurai, Tamil Nadu. </span></p>
<p><span data-mce-fragment=""1""><strong>5. PURITY AND PACKAGING:</strong><span> </span>'The Divine Foods' Cotton Seed Milk Mix is free from added additives, artificial colours, flavours, adulterants and preservatives.</span></p>
<p> </p>",The Divine Foods,"",Instant Mix,divine_foods,FALSE,Title,Default Title,"",,"",,"",1000,shopify,100,deny,manual,3198.60,,TRUE,TRUE,"",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_DivineSmartCombo_WhiteBg.png?v=1731043481,1,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot),FALSE,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot),"""Nourish Your Active Life. Divine Smart Combo combines ABC Milk Mix and Paruthi Paal for overall health and immunity."" ABC Latte: 1.Why Divine Foods ABCDE Lat...","","","","",new,TRUE,https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_DivineSmartCombo_WhiteBg.png?v=1731043481,g,"",999.00,TRUE,3198.60,1590.00,TRUE,3198.60,1590.00,active
divine-smart-comboabc-paruthi-paal-refill-pack,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_DivineSmartCombo_v4_1.png?v=1731043481,2,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-smart-comboabc-paruthi-paal-refill-pack,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_DivineSmartCombo_zoomed.png?v=1731043481,3,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-smart-comboabc-paruthi-paal-refill-pack,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/FSSAI_New.png?v=1748002180,4,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
